pre imp,pre div,rising,srt vol,avg vol,a point,b point,c point,last point
0.00 ,0.00 ,0.00 ,975.00 ,499.00 ,26208.49 ,25744.66 ,26029.67 ,25603.45 
0.00 ,0.00 ,1.00 ,1601.00 ,402.00 ,25603.45 ,25906.60 ,25775.57 ,26106.12 
0.00 ,0.00 ,0.00 ,326.00 ,585.00 ,25932.61 ,25720.61 ,25864.89 ,25635.00 
0.00 ,0.00 ,1.00 ,1358.00 ,266.00 ,26269.48 ,26503.70 ,26424.13 ,26576.89 
0.00 ,0.00 ,1.00 ,382.00 ,211.00 ,26440.99 ,26686.99 ,26559.03 ,26783.21 
0.00 ,0.00 ,1.00 ,1358.00 ,266.00 ,26269.48 ,26576.89 ,26440.99 ,26783.21 
0.00 ,0.00 ,1.00 ,938.00 ,675.00 ,26415.45 ,26572.97 ,26515.46 ,26650.69 
0.00 ,0.00 ,0.00 ,213.00 ,321.00 ,26650.69 ,26552.92 ,26603.11 ,26430.37 
0.00 ,0.00 ,0.00 ,213.00 ,321.00 ,26650.69 ,26430.37 ,26597.27 ,26270.46 
1.00 ,1.00 ,1.00 ,794.00 ,414.00 ,26127.93 ,26373.69 ,26231.84 ,26469.90 
0.00 ,0.00 ,1.00 ,478.00 ,296.00 ,26211.10 ,26436.00 ,26291.34 ,26525.58 
